STATE,District,Dist_Code,TEHSIL,lat,lon,date,Tmax_mean,Tmax_Std,Tmin_Mean,Tmin_Std,IMD_pr_Mean,IMD_pr_std
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-31,31.11,1.68,17.29,1.48,0.6643,3.6257
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-01,31.07,1.17,17.12,1.65,0.0057,0.0243
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-02,30.96,1.14,16.69,1.54,0.1843,1.0114
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-03,30.9,1.09,16.57,1.57,0.0214,0.1229
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-04,30.93,1.02,16.53,1.72,0.0429,0.2286
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-05,30.67,0.97,16.33,1.63,0,0
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-06,30.24,0.99,16.11,1.69,0.0014,0.0114
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-07,30.29,1.12,15.76,1.7,0.0929,0.4757
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-08,30.05,1.37,15.76,1.79,0.1043,0.5343
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-09,29.96,1.09,15.47,1.93,0.4243,2.1557
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-10,29.68,1.08,15.49,2.01,0.0829,0.2929
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-11,29.56,0.93,15.03,1.77,0.0586,0.2729
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-12,29.45,1.39,14.8,1.77,0.0129,0.0671
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-13,29.34,1.1,14.54,1.6,0.0629,0.2486
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-14,29.03,1.1,14.46,1.83,0,0
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-15,29.1,1.06,14.09,1.82,0.0457,0.25
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-16,28.7,1.22,14.13,2.02,0.3043,1.4043
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-17,28.66,1.15,13.95,1.95,0.0029,0.0129
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-18,28.39,1.26,13.82,2.1,0,0
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-19,28.14,1.28,13.63,1.89,0.0057,0.0271
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-20,28.06,1.16,13.26,1.73,0.0071,0.0486
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-21,27.81,1.2,13,1.62,0.1014,0.5557
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-22,27.6,1.16,12.7,1.59,0.0014,0.0057
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-23,27.67,1.26,12.63,1.77,0.0086,0.0614
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,11-24,27.57,0.98,12.27,1.73,0.0029,0.0129
