 date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Std
03-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.67
04-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.77
05-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.68
06-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.67
07-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.72
08-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.79
09-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.67
10-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.79
11-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.69
12-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.66
13-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.68
14-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.72
15-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.66
16-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.68
17-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.84
18-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.71
19-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.78
20-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.77
21-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.7
22-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.76
23-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.76
24-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.62
25-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.64
26-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.77
27-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.7
28-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.82
29-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.72
30-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.82
31-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.73
01-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.98
02-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.99
03-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.86
04-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.64
05-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.7
06-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.85
07-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.74
08-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.86
09-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.9
10-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.78
11-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.73
12-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.7
13-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.73
14-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.86
15-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.81
16-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.79
17-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.86
18-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.81
19-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.86
20-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.84
21-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.83
22-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.84
23-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.79
24-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.82
25-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1
26-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.94
27-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.01
28-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.05
29-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.01
30-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.29
01-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.2
02-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.19
03-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.27
04-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.19
05-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.17
06-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.13
07-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.44
08-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.5
09-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.39
10-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.34
11-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.36
12-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.65
13-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.76
14-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.75
15-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.87
16-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
17-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.88
18-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.71
19-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
20-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
21-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.68
22-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.61
23-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.74
24-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
25-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
26-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.66
27-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.51
28-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.68
29-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.71
30-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.95
31-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.6
01-11-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.78
